content,label
"Kremlin signals no Ukraine breakthrough after Putin talks with US Five hours of talks between Putin and US negotiators were “constructive”, Kremlin officials say, but “a lot of work lies ahead”.",real
"Ukrainians in war-ravaged Donbas weigh prospects of peace deal While many Ukrainians believe they have sacrificed too much for their country to lose territory to Russia, others are desperate for the war to end.",real
"Government legal and staffing costs adds £100m to Covid inquiry bill, BBC learns BBC analysis shows cost to taxpayer is 50% higher than thought, with inquiry's own costs at £192m.",real
"'Carspreading' is on the rise - and not everyone is happy about it In the UK and across Europe, cars are becoming longer, wider and heavier.",real
MPs warn China spy trial failures could happen again A damning report finds a “shambolic” system could lead to future espionage cases being dropped.,real
Crisis looms in Israel over ultra-Orthodox conscription bill Lawmakers are considering a draft bill to end the exemption granted to ultra-Orthodox men enrolled in full-time religious study.,real
"Catherine sends Christmas message of love in 'uncertain times' The Princess of Wales hails the importance of ""time, care and compassion"" given to others, ahead of her carol concert.",real
"Higher proportion of patients in England now contacting GPs online, figures show All NHS practices were required by the government to provide web bookings from October.",real
Italian luxury giant Prada buys Versace – at a discount The $1.38bn (£1.04bn) deal between the two Italian fashion giants is well below the roughly $2bn Versace was sold for in 2018.,real
"Trump says he doesn't want Somalis in US as ICE plans Minnesota operation The president says the US will ""go the wrong way if we keep taking in garbage into our country"".",real
"Man charged with theft over claims he swallowed $19k Fabergé egg The egg, which is set with 60 white diamonds and 15 blue sapphires, has not yet been recovered.",real
"Reform politician's racist Chinese slur 'caused a lot of hurt' Members of Wales' Chinese community say seeing a politician use a racist slur is ""very upsetting"".",real
Cyclone catastrophe in Sri Lanka awakens volunteer spirit Fishing boats deliver relief supplies to flooded suburbs as community kitchens churn out food aid.,real
"Strangled, beaten and enslaved by my in-laws ""Sara"" was told if she left the house, she would be attacked and raped by British people.",real
The Papers: 'No justice' over Hillsborough and 'Holly's guilt over crash' Wednesday's front pages focus on the Hillsborough disaster report and the fine given to TV presenter Holly Willoughby for driving without due care.,real
"As lead changes in knife-edge Honduran election, will Trump fail to get his way? Former vice-president Salvador Nasralla has a small lead over his rival, the conservative former mayor of Tegucigalpa, Nasry Asfura.",real
Why is Trump threatening Venezuela's Maduro? We look at what is behind the deployment of a large US military force to within striking distance of Venezuela.,real
Airbus to inspect some planes over 'quality issue' with panels The announcement comes days after a massive recall affecting thousands of the firm's A320 fleet.,real
Watch: Driver hoisted to safety from truck dangling over West Virginia bridge A man was hoisted to safety and uninjured after his truck partly skated off an icy bridge road in the US,real
Search for long-missing Malaysia Airlines flight MH370 to resume The Boeing 777 with 239 people on board vanished in 2014 in one of the greatest aviation mysteries.,real
"Trans girls can no longer join Girlguiding, organisation says Girlguiding says the move is in response to the Supreme Court ruling that said sex meant biological sex in equality law.",real
"Presenter Woods 'OK' after collapsing on TV Presenter Laura Woods says she is ""OK"" after collapsing while leading television coverage of England's friendly against Ghana on Tuesday.",real
"Chinese mega embassy could bring security advantages, says No 10 Some believe China's mega-embassy could be a hub for espionage in the heart of London.",real
"Army fixing 6,000 support trucks grounded over safety issues Defence Minister Luke Pollard tells MPs fixing safety issues when they are reported is standard practice.",real
"BBC News app Top stories, breaking news, live reporting, and follow news topics that match your interests",real
The Jury’s (Kind Of) Out Jury trials scrapped for crimes with sentences of less than three years.,real
Americanswers… On 5 Live! Why has the US been accused of war crimes off the Venezuelan coast? Secretary of War Pete Hegseth has called the claims “fake news”,fake
Preview Julia Donaldson's joyful tale of love Two devoted scarecrows plan the perfect wedding – until a rival threatens everything,real
"Ridley Scott's masterful epic of betrayal and vengeance Maximus Decimus Meridius, favoured general of the Roman emperor, is betrayed and enslaved.",real
"Your first look at Guz Khan's new comedy, landing this Christmas The Farooqi family have a chaotic Christmas in Lapland after a surprise bonus for Dad.",real
"Racism, rape and death threats: One weekend of abuse in football More than 2,000 extremely abusive social media posts were sent about managers and players in the Premier League and Women's Super League in a single weekend, a BBC investigation finds.",real
Chaos at the Cottage - can Man City fix defensive issues? Manchester City just about hold on as Fulham fight back from 5-1 down to 5-4 - no wonder Pep Guardiola is concerned by his team's leaky defence.,real
"'As if she won Champions League' - Kendall's special night for England Lucia Kendall's night could not have felt more special and England boss Sarina Wiegman said her goal celebration was ""like winning the Champions League"".",real
"Newcastle penalty 'absolute VAR mistake' - Frank Thomas Frank says awarding Newcastle a penalty after a holding incident between Dan Burn and Rodrigo Bentancur was an ""absolute mistake"" by VAR.",real
"Serena Williams says no comeback, despite filing paperwork Serena Williams files the necessary paperwork for a return to tennis - but then denies she is returning to the sport.",real
Eleven and hell - the cost of Newcastle's dropped points Newcastle United have dropped more points from winning positions than any other side in the Premier League this season - the tally now stands at 11 after Tuesday's 2-2 draw with Tottenham.,real
Man City hold off incredible Fulham fightback as Haaland passes milestone Erling Haaland becomes the quickest player to reach 100 goals in Premier League history as Manchester City ramp up pressure on leaders Arsenal by fending off Fulham's impressive fightback in a nine-goal thriller.,real
Maduro Faces His Ultimate Fight as Trump Threatens Military Action in Venezuela President Trump’s threat of military action has confronted President Nicolás Maduro of Venezuela with the gravest challenge of his crisis-ridden reign.,real
In Photos and Video: Devastating Floods Swamp Parts of Asia Images of the destruction caused by storms that have torn through South and Southeast Asia.,real
Thousands Greet Pope Leo as He Prays Near Site of Beirut Port Blast A waterfront Mass in the Lebanese capital capped the pope’s three-day visit to the Middle Eastern nation with the largest proportion of Christians.,real
Marcos vs. Marcos: The New Front in Philippine Politics President Ferdinand R. Marcos Jr. is under fire for an enormous graft scandal that is unfolding under his watch. One prominent voice is his sister Senator Imee Marcos.,real
"Putin and Witkoff Meet in Russia as U.S. Pushes Ukraine Deal The two sides did not reach any specific compromises, an aide to President Vladimir V. Putin said, as the United States pushes a plan to end the war in Ukraine.",real
"The Philippines Spent Big on Flood Control, but the Water Keeps Rising Many Filipinos say floods are worse than ever — and now, the government has admitted that vast sums were embezzled from a program meant to fight the problem.",real
"Floods in Indonesia, Sri Lanka, Thailand and Vietnam Have Killed Over 1,200. Here’s What to Know. Unusually destructive storms have killed at least 1,350 people across the region and displaced millions in South and Southeast Asia.",real
"China, Evoking World War II, Urges Europe to Take Its Side Against Japan A diplomatic row with Japan over Taiwan has China turning to Britain and France for support, appealing to their shared history as wartime allies.",real
"Trump Alleges Fraud, Without Evidence, in Honduras Election Honduras was on edge after tallies showed two candidates separated by about 500 votes. Then President Trump claimed that officials were rigging results.",real
Outdoor Concerts? Uncovered Hair? Shimmying in Public? Is This Iran? Young people across Iran have been leading a dramatic change in social mores in recent months. “We have a fearless young generation that is breaking taboos.”,real
"Hong Kong Contractors Used Unsafe Netting at Fire Site, Officials Say Investigators say contractors wrapped the buildings in substandard scaffolding netting and then sought to hide it from inspectors. The toll from the fire rose to 151.",real
"Right to Jury Trial in England and Wales to Be Restricted in Some Cases The British justice secretary, David Lammy, announced the contentious move on Tuesday as part of an attempt to tackle a yearslong backlog in the courts.",real
"Netanyahu’s Pardon Request Borrows From Trump’s Playbook In many ways, Prime Minister Benjamin Netanyahu’s request mimics how President Trump has assailed his perceived enemies and attacked legal proceedings against him.",real
"South Korea Says the U.S. Agreed to Help It Secure Fuel for Reactors President Lee Jae Myung reaffirmed wanting to build nuclear-powered submarines at home, despite President Trump’s suggestion that they be built in the United States.",real
A Question Circling Sydney’s Beaches: Do We Still Need Shark Nets? Critics say the nets harm marine life and aren’t the best way to keep swimmers safe. Recent shark attacks have complicated a plan to remove some of them.,real
"U.N. Security Council to Visit Syria and Lebanon at ‘Crucial’ Time for the Countries The trip comes days before the anniversary of the fall of Bashar al-Assad, and as Lebanon is navigating the cease-fire between Hezbollah and Israel.",real
"Our Top Editor Answers Questions Joe Kahn, The New York Times’s executive editor, was asked about how we cover the news and make judgment calls in our reporting and editing.",real
"Reckoning With a New Era of Deadly Floods The floods and landslides that have killed more than 1,350 people in recent weeks are a grim reminder of the risks of a warming planet.",real
"Whoops, the New Skating Rink Is Encroaching on Luciano Pavarotti “Nessun Dorma?” More like “Ice, Ice Baby,” as a statue in Italy is overshadowed.",real
Sharks and Rays Gain Sweeping Protections from Wildlife Trade A global treaty has extended trade protections to more than 70 shark and ray species whose numbers are in sharp decline.,real
"120,000 Home Cameras Were Hacked for Sexual Videos, South Korean Police Say The authorities arrested four people this week in the latest turn in the country’s effort to stop exploitative recordings.",real
"Son of El Chapo Pleads Guilty to Kidnapping Father’s Former Cartel Partner Joaquín Guzmán López admitted to having the once-untouchable drug kingpin Ismael Zambada García abducted and flown to the United States, among a sweeping set of other crimes.",real
An Anti-Polarization Pope What Pope Leo’s first international trip tells us about the leader of the Catholic Church.,real
"Trump Becomes the Wild Card in Razor-Thin Honduras Election President Trump warned that if his favored candidate didn’t win, the United States would “not be throwing good money after bad” at the country.",real
"Zelensky Turns to Europe After Talks With U.S. Officials Ukraine’s president met with President Emmanuel Macron of France on Monday as Steve Witkoff, President Trump’s special envoy, was traveling to Russia.",real
"What Jamaica Wants After Deadly Hurricane? Visit Us, Island Says. Tourism accounts for nearly a third of Jamaica’s economy, so officials are rushing to reopen dozens of hotels in time to salvage the vital winter travel season.",real
"Why Is Budapest, the ‘City of Baths,’ Running Out of Bathhouses? In Budapest, political disputes and aging infrastructure have led to cascading problems, and prolonged closings, at several of the city’s beloved baths.",real
Sri Lanka Declares ‘Largest’ Disaster as Cyclone Death Toll Rises to 355 The country’s president said the nationwide flooding after the storm hit last week was the most challenging natural disaster in the island nation’s history.,real
"College Student Is Deported During Trip Home for Thanksgiving Any Lucia López Belloza, 19, was detained by immigration agents at the Boston airport before a flight to surprise her family in Texas for Thanksgiving. She is now in Honduras.",real
‘Imperial Israel’ in the New Middle East A series of attacks show how Israel has expanded its reach in the region.,real
"Pope Leo Calls for a Two-State Solution in Mideast Conflict The pope, arriving in Lebanon, also encouraged that country’s Christians to stay where they are, despite economic, political and security concerns.",real
"Hong Kong’s Migrant Domestic Workers Mourn Their Losses in Deadly Fire At least eight workers died, and many of those who survived, after saving children and others in their care, are worried about losing their jobs and being forced to leave.",real
Netanyahu Asks Israel’s President to Pardon Him in Corruption Cases Prime Minister Benjamin Netanyahu made the contentious appeal weeks after President Trump had made the same request to the Israeli president.,real
Deadly Floods in Indonesia Leave Hundreds Missing Hundreds of people have been killed and millions displaced as extreme weather has ravaged Southeast Asia this month. Indonesia’s heavy rain was linked to two tropical cyclones.,real
"India Is a Rising Power, but Breathing in Its Capital Is Hazardous With little being done to clean the skies over New Delhi, the huge city struggles with toxic air.",real
Lebanon’s Christians Look to Pope Leo’s Visit for a Message of Hope and Peace The pontiff met political leaders upon his arrival on Sunday and will later say Mass at a Beirut port destroyed by an explosion five years ago.,real
Trump-Endorsed Candidate and Sportscaster Lead Honduran Presidential Race Electoral authorities said partial results showed the two conservative candidates were virtually tied — and far ahead of the governing left-wing party.,real
"Fed Up With the Taliban, Pakistan Expels Masses of Afghans Labeling Afghans a national security threat, Pakistan has intensified expulsions this year, depriving people of a haven from Afghanistan’s turmoil.",real
"The Ex-President Whom Trump Plans to Pardon Flooded America With Cocaine Juan Orlando Hernández, whom Mr. Trump called a victim of persecution, helped orchestrate a decades-long trafficking conspiracy. It ravaged his Central American country.",real
"Top Trump Aides to Meet With Ukrainians in Florida on Sunday Secretary of State Marco Rubio, Steve Witkoff and Jared Kushner plan to discuss peace terms again after an uproar over a 28-point proposal drafted with Russian input.",real
"Gazans Say Israeli Forces Killed Two Children, Amid Persistent Violence The Israeli military said it had fired on two “suspects” on Saturday who had crossed cease-fire lines in southern Gaza and did not comment on reports that they were young children.",real
Mourners Honor Victims of Hong Kong Apartment Fire The police said they expected the death toll of 128 to rise as the authorities began combing through the charred apartment towers.,real
"Did Pope Leo Pray in Istanbul’s Blue Mosque? Not Visibly, at Least. Leo XIV is being closely watched on an inaugural trip to Turkey and Lebanon to spread a message of peace and outreach.",real
"Highlight Reel As the year comes to a close, we want to know your highly specific, idiosyncratic bests of 2025.",real
Fresh Reporting on Asylum Seekers at the U.S.-Canadian Border Canada has made its border with the United States tougher to cross. Here’s what we learned through monthlong reporting on a single case.,real
"In Firing His No. 2, Zelensky Loses Both a Negotiator and an Enforcer Andriy Yermak had ensured internal discipline in Ukraine’s wartime politics. He also led the country’s peace negotiations, which now must go on without him.",real
Latin American Leaders Face Both Trump and Voters Deported by the U.S. The upcoming election in Honduras shows how politicians must balance cooperation with the Trump administration with their obligation to undocumented citizens in the United States who may be deported.,real
"Israeli Hostage Recounts Beatings and Starvation During Hamas Captivity Segev Kalfon said he endured physical abuse and mind games during 738 days in the hands of Hamas. Now, he asks why it took so long for Israel to bring him home.",real
"The Ukrainians Stuck in Russia’s New Gulag Even if a peace can be reached, it won’t be easy to solve the problem of Ukrainian civilians languishing in Russian jails. This is one prisoner’s story.",real
"Syria Tiptoes Toward Transitional Justice One Year After Assad’s Ouster Fourteen people are on trial, charged with crimes related to an outbreak of sectarian violence under the new government. The abuses of the old Assad regime still await a reckoning.",real
Russia Bombards Ukraine for Nearly 10 Hours in a Deadly Assault The attack came as U.S. officials were expected to hold peace talks with Ukrainian and Russian officials in the coming days.,real
"As Cyclone Deaths Pass 150, Sri Lanka Is Overwhelmed by Rescue Demand Rescue efforts across the nation of 23 million have been hampered by disruptions in transport and telecommunications.",real
"Trump calls Somali immigrants ‘garbage’ as US reportedly targets Minnesota community <p>US president’s xenophobic rant comes amid reports of ramped-up deportation efforts in Ilhan Omar’s district</p><p><a href=""https://www.theguardian.com/us-news/donaldtrump"">Donald Trump</a> on Tuesday called Somali immigrants “garbage” and said they should be sent back home in a rant that came as the administration is reportedly increasing immigration enforcement against undocumented Somalis in Minnesota.</p><p>In a xenophobic rant during a cabinet meeting, Trump went off on Somalis and Ilhan Omar, the congressional representative who is from Somalia and is a US citizen. He said Somalia “stinks” and is “no good for a reason”.</p> <a href=""https://www.theguardian.com/us-news/2025/dec/02/trump-somali-immigrants-minnesota"">Continue reading...</a>",real
"Five South Africans in court over alleged recruitment for Russia’s war in Ukraine <p>Suspects arrested after tipoff over accusation that 17 South Africans were tricked on to frontlines of the conflict</p><p>Five South Africans have appeared in court on charges relating to recruitment and fighting for Russia in its war with Ukraine, amid allegations that 17 South Africans had been tricked on to the frontlines of the conflict.</p><p>A female suspect was arrested on Thursday on her return to South Africa at OR Tambo international airport outside Johannesburg, police said. Three suspects were arrested at the airport on Friday and another on Saturday.</p> <a href=""https://www.theguardian.com/world/2025/dec/01/south-africans-court-alleged-recruitment-russia-war-ukraine"">Continue reading...</a>",real
"Aid cuts have shaken HIV/Aids care to its core – and will mean millions more infections ahead <p>Reports highlight devastating impact of slashed funding, especially in parts of Africa, that could lead to 3.3m new HIV infections by 2030</p><p>In Mozambique, a teenage rape victim sought care at a health clinic only to find it closed. In Zimbabwe, Aids-related deaths have risen for the first time in five years. In Ethiopia and the Democratic Republic of the Congo (DRC), patients with suspected HIV went undiagnosed due to test-kit stocks running out.</p><p>Stories of the devastating impact of US, British and wider European aid cuts on the fight against HIV – particularly in sub-Saharan Africa – continue to mount as 2025 comes to an end, and are set out in a series of reports released in the past week.</p> <a href=""https://www.theguardian.com/global-development/2025/dec/01/global-health-hiv-aids-funding-cuts-infections-prevention"">Continue reading...</a>",real
"African leaders push for recognition of colonial crimes and reparations <p>Algerian foreign minister says African countries and peoples continue to pay a heavy price for colonialism</p><p>African leaders are pushing to have colonial-era crimes recognised, criminalised and addressed through reparations.</p><p>At a conference in the Algerian capital, Algiers, diplomats and leaders convened to advance an African Union resolution passed at a meeting earlier this year calling for justice and reparations for victims of colonialism.</p> <a href=""https://www.theguardian.com/world/2025/nov/30/african-leaders-push-for-recognition-of-colonial-crimes-and-reparations"">Continue reading...</a>",real
"Jacob Zuma’s daughter resigns amid claims South Africans tricked to fight for Russia <p>Duduzile Zuma-Sambudla quits as MP after being accused of recruiting 17 men who are trapped in war-torn Ukraine</p><p>A daughter of the former South African president Jacob Zuma has resigned as an MP, after being accused of tricking 17 South African men into fighting for Russia in Ukraine by telling them they were travelling to Russia to train as bodyguards for the Zumas’ uMkhonto weSizwe (MK) party.</p><p>Duduzile Zuma-Sambudla, 43, the most visible and active in politics of her siblings, volunteered to resign and step back from public roles while cooperating with a police investigation and working to bring the men home, the MK chair, Nkosinathi Nhleko, said at a <a href=""https://www.youtube.com/live/GTFwUyKTFD8"">press conference</a> in Durban.</p> <a href=""https://www.theguardian.com/world/2025/nov/28/jacob-zuma-daughter-resigns-claims-south-africans-tricked-fight-russia"">Continue reading...</a>",real
